Transaction Date,Ticker,Full Name,Transaction,Amount (USD),Description
2022-12-21,"PAYPAL HOLDINGS, INC.",PYPL,Sale,"250,001 - 500,000","Sold 5,000 Shares"
2022-12-20,"SALESFORCE, INC.",CRM,Sale,9.00 - 210,Sold 130 Call Options
2022-12-20,ALPHABET INC.,GOOGL,Sale,"500,001 - 1,000,000","Sold 10,000 Shares"
2022-12-20,"TESLA, INC.",TSLA,Sale,"500,001 - 1,000,000","Sold 5,000 Shares"
2022-11-08,VISA INC.,V,Sale,"1,000,001 - 5,000,000","Sold 20,000 Shares"
2022-09-16,WALT DISNEY COMPANY,DIS,Sale,1.00 - 130,50 Call Options
2022-09-16,ALPHABET INC.,GOOG,Purchase,"1,000,001 - 5,000,000",Exercised 200 Call Options
2022-09-16,"MICRON TECHNOLOGY, INC.",MU,Sale,"15,001 - 50,000",Sold 100 Call Options
2022-09-16,NVIDIA CORPORATION,NVDA,Sale,"100,001 - 250,000",Sold 50 Call Options
2022-07-26,NVIDIA CORPORATION,NVDA,Sale,"1,000,001 - 5,000,000","Sold 25,000 Shares"
2022-06-21,VISA INC.,V,Sale,"1,000,001 - 5,000,000","Sold 10,000 Shares"
2022-06-17,APPLE INC.,AAPL,Sale,"100,001 - 250,000",Sold 50 Call Options
2022-06-17,NVIDIA CORPORATION,NVDA,Purchase,"1,000,001 - 5,000,000",Exercised 200 Call Options
2022-05-24,APPLE INC.,AAPL,Purchase,"250,001 - 500,000",Purchased 50 Call Options
2022-05-24,MICROSOFT CORPORATION,MSFT,Purchase,"50,001 - 100,000",Purchased 10 Call Options
2022-05-24,MICROSOFT CORPORATION,MSFT,Purchase,"250,001 - 500,000",Purchased 40 Call Options
2022-05-13,APPLE INC.,AAPL,Purchase,"500,001 - 1,000,000",Purchased 100 Call Options
2022-04-11,"WARNER BROS. DISCOVERY, INC.",WBD,Exchange,"50,001 - 100,000",2419 Shares
2022-03-17,"TESLA, INC.",TSLA,Purchase,"1,000,001 - 5,000,000",Exercised 25 Call Options
